anio,cat_ipcc2006,categoria,co2_absorciones_Gg,co2_emisiones_Gg,ch4_emisiones_Gg,n2o_emisiones_Gg,emisiones_totales_Gg_CO2eq,emisiones_con_absorciones_Gg_CO2eq
2014,3C5e,Lixiviación/escurrimiento Fertilizante orgánico (FON),NA,NA,NA,0.03,10.83,10.83
2014,3C5f,Lixiviación/escurrimiento Residuos de cultivo incluidos los fijadores de nitrogeno y de forraje en la renovación de pasturas (FCR),NA,NA,NA,0.20,63.00,63.00
2014,3C5g,Lixiviación/escurrimiento Mineralización por cambio en el uso o manejo (FSOM),NA,NA,NA,0.40,123.65,123.65
2014,3C5h,Lixiviación/escurrimiento - Orina y estiércol de animales en pastoreo (FPRP),NA,NA,NA,3.79,"1,176.23","1,176.23"
2014,3C6,Emisiones indirectas de N2O de gestión de estiércol,NA,NA,NA,1.28,396.17,396.17
2014,3C6a,Total Ganado Bovino,NE,NA,NA,0.33,102.09,102.09
2014,3C6ai,Ganado Bovino Vacas de Alta Produccion,NE,NA,NA,0.02,5.08,5.08
2014,3C6aii,Ganado Bovino Vacas de Baja Produccion,NE,NA,NA,0.07,22.47,22.47
2014,3C6aiii,Ganado Bovino Vacas para produccion de carne,NE,NA,NA,0.10,31.68,31.68
2014,3C6aiv,Ganado Bovino Toros utilizados con fines reproductivos,NE,NA,NA,0.02,5.93,5.93
2014,3C6av,Ganado Bovino Terneros pre-destetos,NE,NA,NA,0.01,4.36,4.36
2014,3C6avi,Ganado Bovino Terneras de remplazo,NE,NA,NA,0.03,10.44,10.44
2014,3C6avii,Ganado Bovino Ganado de engorde,NE,NA,NA,0.07,22.14,22.14
2014,3C6b,Búfalos,NE,NA,NA,0.00,0.76,0.76
2014,3C6c,Ovinos,NE,NA,NA,0.00,0.91,0.91
2014,3C6d,Caprinos,NE,NA,NA,0.00,1.10,1.10
2014,3C6e,Camellos,NE,NA,NA,NO,NA,NA
2014,3C6f,Caballos,NE,NA,NA,0.02,4.72,4.72
2014,3C6g,Mulas y asnos,NE,NA,NA,0.00,0.00,0.00
2014,3C6h,Porcinos,NE,NA,NA,0.30,93.13,93.13
2014,3C6hi,Porcinos < 6 meses,NE,NA,NA,0.12,37.48,37.48
2014,3C6hii,Porcinos > 6 meses,NE,NA,NA,0.18,55.65,55.65
2014,3C6j,Otros,NE,NA,NA,0.62,193.47,193.47
2014,3C7,Cultivo de arroz,NE,NA,24.13,NA,506.67,506.67
2014,3C7a,Cultivo de arroz  Riego,NE,NA,18.98,NA,398.66,398.66
2014,3C7b,Cultivo de arroz Secano,NE,NA,5.14,NA,108.01,108.01
2014,4,Residuos,NA,406.8,636.4,2.1,"14,413.8","14,413.8"
2014,4A,Eliminación de desechos sólidos,NA,NA,311.7,NE,"6,546.7","6,546.7"
2014,4A1,Sitios gestionados de eliminación de desechos,NA,NA,290.3,NE,"6,095.3","6,095.3"
2014,4A1a,Rellenos regionales,NA,NA,238.6,NE,"5,010.6","5,010.6"
2014,4A1b,Rellenos locales. plantas integrales y celdas de contingencia,NA,NA,51.7,NE,"1,084.8","1,084.8"
2014,4A2,Sitios no gestionados de eliminación de desechos,NA,NA,IE,NA,IE,IE
2014,4A3,Sitios no categorizados de eliminación de desechos,NA,NA,21.5,NE,451.4,451.4
2014,4B,Tratamiento biológico de los desechos sólidos,NA,NA,NE,NE,NE,NE
2014,4C,Incineración e incineración abierta de desechos,NA,406.8,6.1,0.1,579.8,579.8
2014,4C1,Incineración de desechos,NA,89.8,NE,NE,89.8,89.8
2014,4C2,Incineración abierta de desechos,NA,316.9,6.1,0.1,490.0,490.0
2014,4D,Tratamiento y eliminación de aguas residuales.,NA,NA,318.5,1.9,"7,287.3","7,287.3"
2014,4D1,Tratamiento y eliminación de aguas residuales domésticas,NA,NA,99.7,1.9,"2,693.0","2,693.0"
2014,4D1a,Población cabecera municipal,NA,NA,66.3,1.5,"1,849.7","1,849.7"
2014,4D1ai,Alcantarillado y PTAR,NA,NA,33.0,0.5,832.9,832.9
2014,4D1aii,Alcantarillado sin PTAR,NA,NA,24.5,0.9,796.0,796.0
2014,4D1aiii,Sin alcantarillado,NA,NA,8.8,0.1,220.8,220.8
2014,4D1b,Población rural (sin alcantarillado),NA,NA,33.4,0.5,843.3,843.3
2014,4D2,Tratamiento y eliminación  de aguas residuales industriales,NA,NA,218.8,NE,"4,594.2","4,594.2"
2014,4E,Otros,NA,NA,NA,NA,NA,NA
2014,5,Otros,0.00,0.00,0.00,0.00,0.00,0.00
2014,5A,Emisiones indirectas de N2O de la deposición atmosférica de nitrógeno como NOx y NH3,NA,NA,NA,NE,NA,NA
2014,5B,Otros,NA,NA,NA,NO,NA,NA
