Año,D F,Reportado?,Categorías IPCC 2006,CO2-Absorciones en Gg,CO2 -Emisiones en Gg,CH4-Emisiones en Gg,N2O-Emisiones en Gg,HFC-32-Emisiones en Gg,HFC-125-Emisiones en Gg,HFC-134a-Emisiones en Gg,HFC-143a-Emisiones en Gg,HFC-152a-Emisiones en Gg,HFC-227ea-Emisiones en Gg,PFCs-Emisiones en Gg,SF6-Emisiones en Gg,NOX-Precursores en Gg,CO-Precursores en Gg,COVDM-Precursores en Gg,SO2-Precursores en Gg,CO2-Absorciones en Gg de CO2eq,CO2-Emisiones en Gg de CO2eq,CH4-Emisiones en Gg de CO2eq,N2O-Emisiones en Gg de CO2eq,HFC-32-Emisiones en Gg de CO2eq,HFC-125-Emisiones en Gg de CO2eq,HFC-134a-Emisiones en Gg de CO2eq,HFC-143a-Emisiones en Gg de CO2eq,HFC-152a-Emisiones en Gg de CO2eq,HFC-227ea-Emisiones en Gg de CO2eq,PFCs-Emisiones en Gg de CO2eq,SF6-Emisiones en Gg de CO2eq,Absorciones Totales.Gg de CO2eq,Emisiones totales (ΣGEI)-Gg de CO2eq,Con todas las emisiones y absorciones-Gg de CO2eq
2014,D,SI,1A2a   Hierro y acero,NA,940.82,7.19E-02,0.01,NA,NA,NA,NA,NA,NA,NA,NA,1.98,6.10E+00,7.15E-01,1.96E+01,NA,940.82,1.51,3.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,945.61,945.61
2014,D,SI,1A2b   Metales no ferrosos,NA,IE,IE,IE,NA,NA,NA,NA,NA,NA,NA,NA,IE,IE,IE,IE,NA,IE,IE,IE,NA,NA,NA,NA,NA,NA,NA,NA,NA,IE,IE
2014,D,SI,1A2c   Productos químicos,NA,"1,156.10",9.62E-02,0.01,NA,NA,NA,NA,NA,NA,NA,NA,2.06,6.80E+00,9.15E-01,2.12E+01,NA,"1,156.10",2.02,3.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,161.98","1,161.98"
2014,D,SI,1A2d   Pulpa. papel e imprenta,NA,"1,744.94",1.41E-01,0.02,NA,NA,NA,NA,NA,NA,NA,NA,3.19,1.24E+01,1.40,4.05E+01,NA,"1,744.94",2.96,6.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,754.32","1,754.32"
2014,D,SI,1A2e   Procesamiento de alimentos. bebidas y tabaco,NA,"2,320.80",2.45,0.33,NA,NA,NA,NA,NA,NA,NA,NA,11.36,5.89E+01,24.48,5.44E+01,NA,"2,320.80",51.45,102.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2,474.24","2,474.24"
2014,D,SI,1A2f   Minerales no metálicos,NA,"6,087.71",7.71E-01,0.10,NA,NA,NA,NA,NA,NA,NA,NA,11.90,5.65E+01,6.44,1.49E+02,NA,"6,087.71",16.18,31.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6,135.64","6,135.64"
2014,D,SI,1A2g   Equipo de transporte,NA,30.02,7.98E-04,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.07,3.25E-02,1.30E-02,9.54E-03,NA,30.02,1.67E-02,3.37E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.07,30.07
2014,D,SI,1A2h   Maquinaria,NA,104.29,3.40E-03,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.22,1.58E-01,5.12E-02,1.79E-01,NA,104.29,7.15E-02,1.41E-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.50,104.50
2014,D,SI,1A2i   Minería (con excepción de combustibles) y cantería,NA,1.21,5.23E-05,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.01,1.15E-03,4.36E-04,6.23E-05,NA,1.21,1.10E-03,3.24E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.21,1.21
2014,D,SI,1A2j   Madera y productos de la madera,NA,27.90,2.35E-03,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.10,4.75E-02,2.25E-02,2.84E-02,NA,27.90,4.93E-02,8.55E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.03,28.03
2014,D,SI,1A2k   Construcción,NA,302.11,1.22E-02,0.00,NA,NA,NA,NA,NA,NA,NA,NA,2.09,2.69E-01,1.02E-01,1.21E-02,NA,302.11,2.57E-01,7.58E-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,303.12,303.12
2014,D,SI,1A2l   Textiles y cueros,NA,"1,132.09",1.16E-01,0.02,NA,NA,NA,NA,NA,NA,NA,NA,2.12,9.53E+00,1.05,3.10E+01,NA,"1,132.09",2.44,5.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,139.56","1,139.56"
2014,D,SI,1A2m   Industria no especificada,NA,197.73,7.31E-03,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.31,2.33E-01,9.25E-02,4.17E-01,NA,197.73,1.53E-01,1.95E-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,198.08,198.08
2014,F,SI,1A3   Transporte,NA,"28,711.80",9.19,1.34,NA,NA,NA,NA,NA,NA,NA,NA,191.27,1.36E+03,147.26,2.32E+00,NA,"28,711.80",192.89,414.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29,319.12","29,319.12"
2014,F,SI,1A3a   Aviación civil,NA,"1,940.41",1.32E-02,0.05,NA,NA,NA,NA,NA,NA,NA,NA,6.59,1.00E+01,1.44,1.09E+00,NA,"1,940.41",2.77E-01,16.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,957.03","1,957.03"
2014,D,SI,1A3aii   Aviación de cabotaje,NA,"1,940.41",1.32E-02,0.05,NA,NA,NA,NA,NA,NA,NA,NA,6.59,1.00E+01,1.44,1.09E+00,NA,"1,940.41",2.77E-01,16.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,957.03","1,957.03"
2014,F,SI,1A3b   Transporte terrestre,NA,"25,862.90",8.36,1.22,NA,NA,NA,NA,NA,NA,NA,NA,169.22,7.14E+02,145.03,1.21E+00,NA,"25,862.90",175.52,378.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26,416.41","26,416.41"
2014,D,SI,1A3bi   Automóviles,NA,"9,936.29",5.87,0.47,NA,NA,NA,NA,NA,NA,NA,NA,37.97,2.21E+02,25.49,4.87E-01,NA,"9,936.29",123.17,147.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10,206.51","10,206.51"
2014,X,SI,1A3bi1    Automóviles de pasajeros con catalizadores tridireccionales,NA,IE,IE,IE,NA,NA,NA,NA,NA,NA,NA,NA,IE,IE,IE,IE,NA,IE,IE,IE,NA,NA,NA,NA,NA,NA,NA,NA,NA,IE,IE
2014,X,SI,1A3bi2    Automóviles de pasajeros sin catalizadores tridireccionales,NA,IE,IE,IE,NA,NA,NA,NA,NA,NA,NA,NA,IE,IE,IE,IE,NA,IE,IE,IE,NA,NA,NA,NA,NA,NA,NA,NA,NA,IE,IE
2014,D,SI,1A3bii   Camiones para servicio ligero,NA,"2,867.19",1.16,0.15,NA,NA,NA,NA,NA,NA,NA,NA,15.27,5.20E+01,5.18,1.22E-01,NA,"2,867.19",24.33,45.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2,936.96","2,936.96"
2014,X,SI,1A3bii1    Camiones para servicio ligero con catalizadores tridireccionales,NA,IE,IE,IE,NA,NA,NA,NA,NA,NA,NA,NA,IE,IE,IE,IE,NA,IE,IE,IE,NA,NA,NA,NA,NA,NA,NA,NA,NA,IE,IE
2014,X,SI,1A3bii2    Camiones para servicio ligero sin catalizadores tridireccionales,NA,IE,IE,IE,NA,NA,NA,NA,NA,NA,NA,NA,IE,IE,IE,IE,NA,IE,IE,IE,NA,NA,NA,NA,NA,NA,NA,NA,NA,IE,IE
2014,D,SI,1A3biii   Camiones para servicio pesado y autobuses,NA,"10,529.86",9.30E-01,0.56,NA,NA,NA,NA,NA,NA,NA,NA,110.26,4.62E+01,10.24,4.55E-01,NA,"10,529.86",19.54,174.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10,723.52","10,723.52"
2014,D,SI,1A3biv   Motocicletas,NA,"2,529.56",4.04E-01,0.04,NA,NA,NA,NA,NA,NA,NA,NA,5.71,3.94E+02,104.11,1.43E-01,NA,"2,529.56",8.48,11.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2,549.42","2,549.42"
2014,X,SI,1A3bv   Emisiones por evaporación procedentes de vehículos,NA,NE,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE,NE,NE,NA,NE,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE
2014,X,SI,1A3bvi   Catalizadores basados en urea,NA,NE,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE,NE,NE,NA,NE,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE
2014,D,SI,1A3c   Ferrocarriles,NA,73.78,4.03E-03,0.03,NA,NA,NA,NA,NA,NA,NA,NA,3.19,4.03E-01,4.42E-01,2.73E-03,NA,73.78,8.47E-02,8.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.04,82.04
